Type,Title,Status,Priority,Story Points,Epic,Description,Tags
Task,지표 차트 오버레이,완료,P1,,차트 및 기술적 지표,"지표를 차트에 표시","Frontend,Chart"
Epic,수동 거래 시스템,완료,P0,,,"사용자가 직접 매수/매도 주문을 할 수 있는 시스템","Trading,Manual"
User Story,시장가 매수/매도,완료,P0,8,수동 거래 시스템,"현재 시장가로 즉시 매수/매도할 수 있다","Sprint1,Trading"
Task,주문 생성 API,완료,P0,,시장가 매수/매도,"POST /api/trade/order 엔드포인트 구현","Backend,API"
Task,Bitget API 주문 실행,완료,P0,,시장가 매수/매도,"Bitget API를 통한 실제 주문 실행","Backend,Integration"
Task,매수/매도 UI 컴포넌트,완료,P0,,시장가 매수/매도,"거래 UI 개발","Frontend,UI"
User Story,지정가 주문,완료,P1,8,수동 거래 시스템,"원하는 가격에 지정가 주문을 할 수 있다","Sprint1,Trading"
Task,지정가 주문 로직,완료,P1,,지정가 주문,"지정가 주문 처리 로직 구현","Backend,Logic"
Task,주문 취소 기능,완료,P1,,지정가 주문,"DELETE /api/trade/order/:id 엔드포인트 구현","Backend,API"
Task,지정가 주문 UI,완료,P1,,지정가 주문,"지정가 주문 인터페이스 개발","Frontend,UI"
User Story,잔고 및 주문 내역 조회,완료,P0,5,수동 거래 시스템,"내 잔고와 주문 내역을 확인할 수 있다","Sprint1,Account"
Task,잔고 조회 API,완료,P0,,잔고 및 주문 내역 조회,"GET /api/account/balance 엔드포인트 구현","Backend,API"
Task,주문 내역 조회 API,완료,P0,,잔고 및 주문 내역 조회,"GET /api/trade/orders 엔드포인트 구현","Backend,API"
Task,잔고 표시 UI,완료,P0,,잔고 및 주문 내역 조회,"잔고 표시 컴포넌트 개발","Frontend,UI"
Epic,자동매매 전략 엔진,완료,P1,,,"기술적 지표 기반 자동매매 시스템 구축","Strategy,Automation"
User Story,RSI 전략,완료,P1,13,자동매매 전략 엔진,"RSI 지표 기반 자동매매 전략을 설정할 수 있다","Phase2,Strategy"
Task,RSI 계산 알고리즘,완료,P1,,RSI 전략,"RSI 지표 계산 로직 구현","Backend,Indicator"
Task,RSI 전략 엔진,완료,P1,,RSI 전략,"strategyEngine.js에 RSI 전략 추가","Backend,Strategy"
Task,전략 생성 API,완료,P1,,RSI 전략,"POST /api/strategy/create 엔드포인트 구현","Backend,API"
Task,전략 설정 UI,완료,P1,,RSI 전략,"RSI 전략 설정 인터페이스 개발","Frontend,UI"
User Story,MACD 전략,완료,P1,13,자동매매 전략 엔진,"MACD 지표 기반 자동매매 전략을 사용할 수 있다","Phase2,Strategy"
Task,MACD 계산 알고리즘,완료,P1,,MACD 전략,"MACD 지표 계산 (Fast EMA Slow EMA Signal)","Backend,Indicator"
Task,MACD 크로스오버 감지,완료,P1,,MACD 전략,"골든크로스/데드크로스 감지 로직","Backend,Strategy"
Task,MACD 전략 설정 UI,완료,P1,,MACD 전략,"MACD 전략 설정 인터페이스 개발","Frontend,UI"
User Story,Bollinger Bands 전략,완료,P2,13,자동매매 전략 엔진,"볼린저 밴드 기반 전략을 사용할 수 있다","Phase2,Strategy"
Task,볼린저 밴드 계산,완료,P2,,Bollinger Bands 전략,"SMA 상단/하단 밴드 계산","Backend,Indicator"
Task,밴드 돌파 감지,완료,P2,,Bollinger Bands 전략,"밴드 터치/돌파 감지 로직","Backend,Strategy"
Task,BB 전략 설정 UI,완료,P2,,Bollinger Bands 전략,"볼린저 밴드 전략 설정 UI 개발","Frontend,UI"
User Story,전략 성과 모니터링,완료,P1,8,자동매매 전략 엔진,"실행 중인 전략의 성과를 실시간으로 확인할 수 있다","Phase2,Analytics"
Task,전략 성과 계산,완료,P1,,전략 성과 모니터링,"수익률 승률 MDD 계산 로직","Backend,Analytics"
Task,성과 대시보드 UI,완료,P1,,전략 성과 모니터링,"전략 성과 대시보드 개발","Frontend,UI"
Epic,분석 및 리포팅,완료,P1,,,"거래 데이터 분석 및 시각화","Analytics,Reporting"
User Story,수익률 분석,완료,P1,8,분석 및 리포팅,"일/주/월별 수익률을 확인할 수 있다","Phase2,Analytics"
Task,수익률 계산 로직,완료,P1,,수익률 분석,"수익률 계산 알고리즘 구현","Backend,Analytics"
Task,분석 API,완료,P1,,수익률 분석,"GET /api/analytics/profit 엔드포인트 구현","Backend,API"
Task,수익률 차트,완료,P1,,수익률 분석,"Line Chart로 수익률 시각화","Frontend,Chart"
User Story,거래 통계,완료,P2,8,분석 및 리포팅,"거래 패턴과 통계를 분석할 수 있다","Phase2,Analytics"
Task,거래 통계 API,완료,P2,,거래 통계,"GET /api/analytics/trades 엔드포인트 구현","Backend,API"
Task,통계 대시보드 UI,완료,P2,,거래 통계,"거래 통계 대시보드 개발","Frontend,UI"
User Story,성과 리포트,완료,P2,5,분석 및 리포팅,"종합적인 성과 리포트를 받을 수 있다","Phase2,Analytics"
Task,리포트 생성 API,완료,P2,,성과 리포트,"GET /api/analytics/performance 엔드포인트 구현","Backend,API"
Task,리포트 UI,완료,P2,,성과 리포트,"성과 리포트 카드 UI 개발","Frontend,UI"
Epic,보안 및 리스크 관리,진행중,P0,,,"안전한 거래 환경 구축 및 손실 최소화","Security,Risk"
User Story,Rate Limiting,완료,P0,3,보안 및 리스크 관리,"API 요청 빈도를 제한하여 DDoS를 방지할 수 있다","Sprint1,Security"
Task,Rate Limit 미들웨어 설정,완료,P0,,Rate Limiting,"express-rate-limit 미들웨어 설정","Backend,Middleware"
Task,IP 기반 요청 제한,완료,P0,,Rate Limiting,"분당 100회 요청 제한","Backend,Security"
User Story,손절매/익절매 자동 설정,진행중,P1,13,보안 및 리스크 관리,"자동으로 손절매와 익절매가 실행될 수 있다","Phase3,Risk"
Task,손절매/익절매 설정 API,대기,P1,,손절매/익절매 자동 설정,"Stop Loss/Take Profit API 개발","Backend,API"
Task,가격 모니터링 및 자동 실행,대기,P1,,손절매/익절매 자동 설정,"가격 도달 시 자동 주문 실행","Backend,Logic"
Task,Stop Loss/Take Profit UI,대기,P1,,손절매/익절매 자동 설정,"손절/익절 설정 UI 개발","Frontend,UI"
User Story,알림 시스템,완료,P2,8,보안 및 리스크 관리,"중요한 이벤트 발생 시 알림을 받을 수 있다","Phase2,Notification"
Task,알림 설정 API,완료,P2,,알림 시스템,"알림 설정 API 개발","Backend,API"
Task,이벤트 트리거,완료,P2,,알림 시스템,"주문체결 전략시그널 가격알림 트리거 구현","Backend,Logic"
Task,브라우저 푸시 알림,완료,P2,,알림 시스템,"Web Push 알림 구현","Frontend,Notification"
Epic,멀티 거래소 지원,대기,P1,,,"여러 거래소를 통합하여 사용","Phase3,Integration"
User Story,Binance 연동,대기,P1,13,멀티 거래소 지원,"Binance 거래소를 연동하여 사용할 수 있다","Phase3,Exchange"
User Story,Upbit 연동,대기,P2,13,멀티 거래소 지원,"Upbit 거래소를 연동하여 사용할 수 있다","Phase3,Exchange"
Epic,백테스팅 시스템,대기,P1,,,"과거 데이터로 전략을 테스트","Phase3,Backtest"
User Story,과거 데이터 수집,대기,P1,8,백테스팅 시스템,"과거 시세 데이터를 수집할 수 있다","Phase3,Data"
User Story,전략 백테스트 실행,대기,P1,13,백테스팅 시스템,"전략을 과거 데이터로 테스트할 수 있다","Phase3,Backtest"
Epic,포트폴리오 관리,대기,P2,,,"멀티 코인 포트폴리오 관리 및 리밸런싱","Phase3,Portfolio"
User Story,멀티 코인 포트폴리오,대기,P2,13,포트폴리오 관리,"여러 코인을 포트폴리오로 관리할 수 있다","Phase3,Portfolio"
User Story,자동 리밸런싱,대기,P2,13,포트폴리오 관리,"포트폴리오를 자동으로 리밸런싱할 수 있다","Phase3,Portfolio"
Epic,AI/ML 통합,대기,P2,,,"AI와 머신러닝을 활용한 고급 기능","Phase4,AI"
User Story,가격 예측 모델,대기,P2,21,AI/ML 통합,"AI 모델로 가격을 예측할 수 있다","Phase4,ML"
User Story,이상 거래 탐지,대기,P2,13,AI/ML 통합,"비정상적인 거래 패턴을 탐지할 수 있다","Phase4,ML"
